Id,Company,Contracted On,Status,Contact,Phone,Cellphone,Fax,Street Address,City/State/Zip,Email,Website,Payment Term,Currency,Preferred Carrier Status,Smartway Certified,Flag,Payee Company,Payee Contact,Payee Phone,Payee Cellphone,Payee Fax,Payee Address,Federal ID,Pay in Days,MC #,DOT #,HAZMAT #,SCAC #,Trackable
"354510","1804 ENTERPRISE LLC","","Active","","(813) 507-1125","","","19109 W CATAWBA AVE STE 200 ","CORNELIUS, NC 28031","","","","USD","false","false","","1804 ENTERPRISE LLC","","(813) 507-1125","","","19109 W CATAWBA AVE STE 200 CORNELIUS, NC 28031 ","","","1098148","3408043","","","false"
"339106","1984 TRANSPORT COMPANY","","Active","","(469) 233-9693","","","1306 SHEARWATER LN ","GARLAND, TX 75043","","","","USD","false","false","","1984 TRANSPORT COMPANY","","(469) 233-9693","","","1306 SHEARWATER LN GARLAND, TX 75043 ","","","1266177","3661621","","","false"
"333156","1MTX LLC","","Active","","(314) 325-5016","","","127 BYASSEE DR ","HAZELWOOD, MO 63042","","","","USD","false","false","","1MTX LLC","","(314) 325-5016","","","127 BYASSEE DR HAZELWOOD, MO 63042 ","","","680844","1890957","","","false"
"342593","25TH DYNASTY ENTERPRISE LLC","","Active","","(216) 539-9744","","","3011 Chante Court ","Columbus, OH 43219","","","","USD","false","false","","25TH DYNASTY ENTERPRISE LLC","","(216) 539-9744","","","3011 Chante Court Columbus, OH 43219","","","067140","3081961","","","false"
"318461","448 Couriers, LLC","","Active","","(404) 431-2590","","","PO BOX 1901 ","Villa Rica, GA 30179","","","","USD","false","false","","448 Couriers, LLC","","(404) 431-2590","","","PO BOX 1901 Villa Rica, GA 30179","","","1117702","3441199","","","false"
"318969","4G EXPRESS LLC","","Active","","(704) 835-8844","","","5507 WYALONG DR ","CHARLOTTE, NC 28227","","","","USD","false","false","","4G EXPRESS LLC","","(704) 835-8844","","","5507 WYALONG DR CHARLOTTE, NC 28227","","","1241883","3560325","","","false"
"338004","A & A PREFERRED TRUCKING LLC","","Active","","(832) 616-3503","","","21803 CASCADE HOLLOW LANE ","SPRING, TX  77379","","","","USD","false","false","","A & A PREFERRED TRUCKING LLC","","(832) 616-3503","","","21803 CASCADE HOLLOW LANE SPRING, TX  77379","","","000471","2574849","","","false"
"324806","A First Class Solution, LLC","","Active","","(319) 848-4424","","","1853 Lake Manor Rd NE ","Solon, IA 52333","","","","USD","false","false","","A First Class Solution, LLC","","(319) 848-4424","","","1853 Lake Manor Rd NE Solon, IA 52333","","","906273","2583896","","","false"
"340845","A-1 SINGH TRUCKING INC","","Active","","(734) 665-6300","","","12900 INKSTER RD ","ROMULUS, MI 48174","","","","USD","false","false","","A-1 SINGH TRUCKING INC","","(734) 665-6300","","","12900 INKSTER RD ROMULUS, MI 48174 ","","","056280","3062840","","","false"
"363310","A. V. TRANSPORTATION, INC.","","Active","","(319) 259-9806","","","2103 9TH AVE. ","CAMANCHE, IA 52730","","","","USD","false","false","","A. V. TRANSPORTATION, INC.","","(319) 259-9806","","","2103 9TH AVE. CAMANCHE, 52730 ","","","190526","272114","","","false"
