Load Number,Posted,Type,Status,Customer,Carrier,Shipper Address,Consignee Address,#Stops,Ship Date,Delivery Date,
10898,,TL,Available,US Transportation Services Inc.,,EAGLE LAKE  TX,NORTH RICHLAN TX,1,05/18/2022,05/19/2022,
10897,,TL,Available,US Transportation Services Inc.,,,,1,,,
10896,,TL,Assigned,Bennett International Group LLC,Flint Trucking Inc,CEMENT CITY  MI,SUMMERVILLE SC,1,05/20/2022,05/23/2022,
10895,,TL,Assigned,EXXACT EXPRESS,Prospekts Trucking LLC,Greensboro  NC,Brooksville FL,1,05/17/2022,05/18/2022,
10894,,TL,Dispatched,BLACKHIVE CORP INC,Pam International Inc.,SPRINGDALE  AR,OCALA FL,1,05/17/2022,05/19/2022,
10893,,TL,Dispatched,RED CLASSIC TRANSPORTATION SERVICES LLC,Gallaher Fleet Solutions,MacEdonia  OH,HENRICO VA,1,05/18/2022,05/19/2022,
10891,,TL,Dispatched,CFX INC,Silk Way Transport Inc,RIPON  WI,BRYAN TX,1,05/17/2022,05/18/2022,
10888,,TL,Dispatched,EXL Logistics,SEHIC TRUCKING LLC,Faribault  MN,Sullivan MO,1,05/16/2022,05/17/2022,
10886,,TL,Dispatched,Road Hunter Logistics INC,Betty Trucking INC,Orange City  IA,New Hebron MS,1,05/17/2022,05/19/2022,
10883,,TL,Dispatched,RED CLASSIC TRANSPORTATION SERVICES LLC,MG Brothers Inc,MacEdonia  OH,Indianapolis IN,1,05/17/2022,05/18/2022,
10877,,TL,Dispatched,Sion Motor Freight,XCELERATE MOVING INC,Pittsfield  MA,Orlando FL,1,05/16/2022,05/18/2022,
10869,,TL,Dispatched,TSL Transportation,DITZFELD TRANSFER INC.,CLOVIS  NM,MARSHALLTOWN IA,1,05/16/2022,05/18/2022,
10867,,TL,Dispatched,SANDAIR CORPORATION DBA CALIFORNIA FREIGH,BERACA SOLUTIONS GROUP LLC,BARNWELL  SC,HATTIESBURG MS,1,05/12/2022,05/13/2022,
10863,,TL,Dispatched,Stephens Transportation,Blackhawk Transport,Kansas City  MO,Beloit WI,1,05/12/2022,05/13/2022,
10832,,TL,Dispatched,ECHO GLOBAL LOGISTICS INC.,AL-UMARAIN SHIPPING  TRANSPORT CO LLC,HOUSTON  TX,KANSAS CITY MO,1,05/06/2022,05/09/2022,
10741,,TL,Dispatched,Cumulus Logistics LLC,ROZE TRAVELS LLC,Murfreesboro  TN,College Park MD,1,04/21/2022,04/22/2022,
10640,,TL,Dispatched,BROCK LLC,SOUTHPORT TRUCKING INC.,RED OAK  IA,GRAND RAPIDS MI,1,03/31/2022,04/01/2022,
10585,,TL,Dispatched,TRAFFIX,United Carrier LLC,NEWARK  NJ,NILES OH,1,03/28/2022,03/29/2022,
10541,,TL,Dispatched,Bronco Transportation Services,NATIONAL AMERICAN TRANSPORT INC,Houston  TX,Pooler GA,1,03/22/2022,03/24/2022,
10533,,TL,Dispatched,J.B. Hunt,MOOSE POWER INC,Appleton  WI,Mansfield OH,1,03/22/2022,03/23/2022,
10508,,TL,Assigned,L2 Logistics LLC,WILL GO LOGISTICS LLC,Lithonia  GA,Tulsa OK,1,03/17/2022,03/18/2022,
10493,,TL,Assigned,EXPERT TRANSPORTATION SERVICES INC.,AIR WOLF INC,KARNS CITY  PA,HOLTSVILLE NY,1,03/16/2022,03/17/2022,
10405,,TL,Dispatched,KNL Logistics LLC,ARMSTEAD LOGISTICS LLC,Alexandria  IN,Pearl River LA,1,03/04/2022,03/06/2022,
10358,,TL,Dispatched,ECHO GLOBAL LOGISTICS INC.,VHS Trucking Inc,NORTH EAST  PA,LOUISVILLE KY,1,03/01/2022,03/02/2022,
10340,,TL,Dispatched,MANNING LOGISTICS INC.,S  J EXPRESS LLC,EAGAN  MN,CHANDLER OK,1,02/25/2022,02/28/2022,
10329,,TL,Dispatched,Stone Cargo Inc.,SUNMOR IMPORTS LTD,BALTIMORE  MD,LOUISVILLE KY,1,02/24/2022,02/25/2022,
10276,,TL,Dispatched,Garrison Logistics Inc,DRIVE SERVICES LLC,GAINESVILLE  GA,TUSCUMBIA AL,1,02/15/2022,02/15/2022,
10157,,TL,Assigned,Burlington Development Inc.,Faith First Transportation,North Charleston  SC,Atlanta GA,1,01/11/2022,01/12/2022,
